,Year,Month,광진구 Power Usage,양천구 Power Usage,도봉구 Power Usage,서대문구 Power Usage,중구 Power Usage,중랑구 Power Usage,송파구 Power Usage,종로구 Power Usage,용산구 Power Usage,은평구 Power Usage,강서구 Power Usage,서초구 Power Usage,강남구 Power Usage,동대문구 Power Usage,노원구 Power Usage,영등포구 Power Usage,성북구 Power Usage,마포구 Power Usage,금천구 Power Usage,관악구 Power Usage,강동구 Power Usage,성동구 Power Usage,강북구 Power Usage,구로구 Power Usage,동작구 Power Usage
27,2018,1,219.9,269.95,262.08,241.98,235.77,241.74,267.35,225.71,254.4,248.53,236.51,280.44,263.07,229.45,264.24,234.48,255.99,237.89,225.36,201.63,247.68,257.04,234.42,246.64,226.89
28,2018,2,223.22,271.38,266.25,240.09,246.99,245.1,270.89,228.12,257.82,252.39,239.6,278.61,258.78,231.32,267.3,235.11,259.71,241.69,226.21,205.71,249.42,262.35,238.69,249.34,230.52
29,2018,3,188.09,236.95,224.13,212.48,202.02,207.25,230.8,189.81,216.38,216.1,206.39,244.11,230.21,196.02,227.29,205.07,220.08,202.05,190.57,171.73,210.3,221.24,201.87,212.49,194.83
30,2018,4,192.82,243.99,231.55,213.88,204.58,211.75,240.33,190.95,221.39,220.27,213.79,247.55,233.57,200.89,235.22,204.64,226.67,208.86,194.98,176.86,215.61,229.13,205.62,217.07,201.6
31,2018,5,181.3,229.94,215.61,201.95,192.37,198.26,224.94,178.98,207.88,205.13,201.69,233.28,223.8,187.29,218.54,193.57,210.88,196.21,183.41,165.12,203.03,214.73,190.96,204.6,187.64
32,2018,6,193.23,236.93,223.66,208.94,206.23,206.71,237.14,188.47,225.61,211.13,208.9,250.44,241.47,197.83,227.01,204.21,219.77,210.73,188.01,173.46,214.59,227.41,197.67,211.91,197.84
33,2018,7,226.79,274.01,247.84,243.66,242.81,231.06,271.17,221.11,268.34,233.32,233.32,306.55,302.47,221.2,255.05,242.88,242.33,245.87,210.88,195.26,250.43,254.99,216.53,241.77,223.75
34,2018,8,349.24,404.17,378.1,354.72,364.93,362.0,403.11,329.64,418.44,355.04,356.67,463.46,435.15,348.74,378.62,357.18,369.27,381.44,322.64,294.33,380.97,403.19,331.72,367.14,343.16
35,2018,9,239.02,302.12,264.98,249.52,254.83,249.49,293.41,229.98,285.65,268.26,257.75,300.08,285.44,245.83,273.01,250.13,267.57,253.5,232.17,215.81,253.81,291.44,246.42,257.53,242.26
36,2018,10,179.96,227.03,213.9,200.79,194.26,198.03,217.02,174.34,207.62,203.62,199.18,232.69,226.22,187.22,217.32,190.26,199.4,195.17,177.69,164.05,207.68,209.54,188.49,201.35,185.84
37,2018,11,190.02,236.17,232.03,207.98,204.58,204.89,228.74,194.64,217.16,215.26,204.31,243.58,233.74,192.05,235.53,201.02,214.53,205.92,189.2,173.07,214.37,223.6,200.68,205.69,195.23
38,2018,12,199.88,247.26,240.39,220.39,217.56,217.71,239.62,201.81,229.92,224.24,215.15,255.05,245.1,204.18,243.99,214.3,224.42,218.85,200.29,178.67,225.52,234.99,209.96,220.41,204.34
39,2019,1,216.24,266.41,259.12,238.35,236.12,236.9,258.9,221.77,253.16,244.96,232.62,274.0,260.22,224.61,262.21,231.85,243.53,237.83,219.83,194.26,244.48,258.72,230.24,239.76,222.09
40,2019,2,210.52,260.61,254.45,228.77,222.02,229.18,257.84,212.3,245.52,239.93,226.83,266.88,248.53,217.63,256.39,222.27,238.97,230.11,218.08,189.9,237.94,253.37,226.47,234.0,217.72
41,2019,3,182.49,231.84,218.32,201.98,196.91,200.96,225.71,185.26,211.91,208.41,201.45,240.5,227.17,190.97,222.59,198.64,208.34,200.03,189.55,162.88,201.22,220.07,193.73,203.5,188.85
42,2019,4,193.1,242.9,230.41,211.01,202.86,207.98,239.68,192.04,222.68,219.2,212.09,249.88,231.66,200.34,235.38,205.25,220.22,210.61,194.22,172.72,211.54,232.52,204.58,213.48,200.22
43,2019,5,179.13,225.64,212.43,197.93,190.52,192.86,223.47,177.29,208.62,203.83,197.48,236.59,222.34,184.96,216.34,192.44,204.57,194.36,180.75,159.06,196.79,216.42,188.27,197.97,185.82
44,2019,6,187.87,230.5,215.92,205.75,200.58,197.35,233.26,184.89,220.72,207.97,202.61,250.04,235.48,194.73,220.12,199.22,210.46,207.25,184.53,165.74,201.58,224.65,190.54,201.35,193.58
45,2019,7,210.02,251.71,234.79,229.49,232.32,217.07,252.93,208.83,251.43,223.73,221.45,285.85,279.58,212.94,239.99,225.82,222.3,232.31,202.06,180.39,219.88,243.58,205.72,221.2,211.12
46,2019,8,287.22,338.63,313.0,301.62,309.43,290.63,342.76,279.26,349.11,300.75,299.85,392.59,369.4,285.63,315.87,300.04,297.83,316.26,272.34,245.41,300.26,330.57,276.74,298.74,288.71
47,2019,9,240.06,294.91,259.34,248.35,247.44,245.63,296.03,231.86,286.37,261.22,261.82,318.73,293.43,253.13,264.34,246.88,270.13,262.65,231.27,210.41,243.98,300.99,242.06,260.01,246.8
48,2019,10,185.34,229.74,213.68,201.38,198.97,195.9,230.94,184.75,218.42,206.83,205.04,247.3,234.56,196.64,218.64,195.07,213.21,204.3,185.41,166.23,199.71,227.03,192.24,203.76,195.68
49,2019,11,185.46,234.58,223.74,203.77,199.7,199.34,235.08,186.02,215.28,208.81,204.84,245.46,232.4,194.15,228.49,193.45,214.3,205.14,188.16,166.84,204.62,223.07,197.65,205.81,196.2
50,2019,12,196.64,242.7,236.77,217.7,215.49,212.48,245.08,202.2,228.07,221.83,214.77,256.7,242.69,206.69,239.61,206.05,226.33,215.25,198.82,175.26,216.42,235.91,209.08,217.38,203.96
51,2020,1,209.8,257.66,252.81,228.77,228.1,224.55,263.45,214.89,243.73,236.34,228.68,268.49,254.67,219.74,256.32,219.05,242.6,229.34,211.9,187.47,234.92,252.81,225.18,234.0,217.11
52,2020,2,208.89,257.98,251.6,227.05,223.55,223.49,263.43,211.94,243.27,237.27,228.73,267.82,250.36,218.18,254.96,216.87,241.51,227.95,213.46,187.38,235.52,253.21,225.28,233.45,216.74
53,2020,3,199.89,244.61,234.52,216.29,210.79,209.99,248.39,198.08,227.68,221.49,216.84,257.67,244.8,205.42,238.55,208.6,227.08,215.16,200.12,174.95,224.43,237.02,208.24,219.7,204.14
54,2020,4,199.24,247.91,236.64,215.44,206.21,210.09,252.45,194.01,228.69,223.74,218.96,258.82,242.19,207.64,241.81,205.19,230.18,214.76,200.28,177.61,228.24,238.84,210.82,220.24,205.78
55,2020,5,186.6,234.79,221.02,203.72,195.31,197.52,236.68,182.76,212.83,209.8,205.3,246.22,232.77,194.4,225.7,192.72,216.43,201.84,185.9,165.32,214.38,222.41,196.55,206.7,195.28
56,2020,6,203.54,245.08,230.9,216.37,213.88,208.6,253.21,197.02,237.17,219.79,215.59,269.39,258.87,207.2,237.22,206.57,226.85,219.63,194.69,175.67,231.89,236.63,205.59,217.03,209.61
